City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
255,Jalu,LY,84.49,clear sky,29.0331,21.5482,صاحبة الفخامة
257,Shaoxing,CN,75.15,overcast clouds,30.011,120.5715,Holiday Inn Shaoxing
258,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
263,Port Hawkesbury,CA,79.59,clear sky,45.6169,-61.3485,MacKenzie House Tourist Home B&B
264,Kavieng,PG,84.92,light rain,-2.5744,150.7967,Nusa Island Retreat
272,Lazaro Cardenas,MX,84.7,scattered clouds,17.9583,-102.2,quinta antigua
273,Carutapera,BR,75.92,broken clouds,-1.195,-46.02,Lidera
281,Siderno,IT,83.84,clear sky,38.2779,16.302,Grand Hotel President
287,Turayf,SA,79.05,clear sky,31.6725,38.6637,Turaif
288,Banda Aceh,ID,78.89,overcast clouds,5.5577,95.3222,Sulthan Hotel International
291,Mitsamiouli,KM,77.14,clear sky,-11.3847,43.2844,Foyer ADM
296,Tabas,IR,84.04,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
297,Tual,ID,79.41,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
311,Maneadero,MX,82.18,clear sky,31.7167,-116.5667,Casa De Thompson
314,Kirakira,SB,82.09,overcast clouds,-10.4544,161.9205,SanBiz Lodge
316,Awbari,LY,82.45,clear sky,26.5921,12.7805,فندق أوباري
318,Gorontalo,ID,75.38,scattered clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
319,Xique-Xique,BR,77.67,clear sky,-10.8218,-42.7263,Hotel J. Macedo
323,Jatara,IN,79.12,clear sky,25.0167,79.05,Sohil - Mark
325,Praia,CV,77.54,few clouds,14.9215,-23.5087,LT Aparthotel
327,Ishigaki,JP,82.53,few clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
328,Sokoto,NG,78.67,few clouds,13.0609,5.239,Shukura Coral Hotel
333,Tarakan,ID,78.3,broken clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
337,Barra Do Bugres,BR,80.26,clear sky,-15.0725,-57.1811,Hotel 4AM Petrofurt
346,Bonthe,SL,76.24,light rain,7.5264,-12.505,Bonthe Holiday Village
349,Bengkulu,ID,75.13,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
350,Luganville,VU,75.31,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
353,Nador,MA,75.27,overcast clouds,35.174,-2.9287,Hôtel La Giralda
354,Komsomolskiy,UZ,77.72,scattered clouds,40.4272,71.7189,Ikathouse
355,Lake Saint Louis,US,84.2,broken clouds,38.7976,-90.7857,Regency Plaza Hotel
356,Eyl,SO,77.95,scattered clouds,7.9803,49.8164,Amiin Hotel
