City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
299,Sar-E Pul,AF,35.8333,66.1667,55.56,38,0,2.71,clear sky
300,Tahe,CN,52.3333,124.7333,64.81,70,88,1.23,overcast clouds
301,Umm Lajj,SA,25.0213,37.2685,89.15,47,5,7.58,clear sky
302,Sembakung,ID,3.8167,117.25,78.73,98,95,1.14,overcast clouds
303,Dasoguz,TM,41.8363,59.9666,64.35,45,0,6.91,clear sky
304,Ulaangom,MN,49.9811,92.0667,64.4,61,100,4.88,overcast clouds
305,Vyazemskiy,RU,47.5378,134.7525,68.99,61,23,2.89,few clouds
306,Bambous Virieux,MU,-20.3428,57.7575,70.05,88,75,13.8,light rain
307,Gravdal,NO,68.1214,13.5031,50.02,82,27,15.32,scattered clouds
308,Srednekolymsk,RU,67.45,153.6833,48.22,68,100,14.65,overcast clouds
309,Samfya,ZM,-11.3649,29.5565,64.6,47,0,14.29,clear sky
310,Okhotsk,RU,59.3833,143.3,62.38,82,43,2.44,scattered clouds
311,Maneadero,MX,31.7167,-116.5667,82.18,75,10,4.0,clear sky
312,Winnemucca,US,40.973,-117.7357,98.11,11,6,10.87,clear sky
313,Karratha,AU,-20.7377,116.8463,70.48,44,39,5.08,scattered clouds
314,Kirakira,SB,-10.4544,161.9205,82.09,79,96,13.24,overcast clouds
315,Saldanha,ZA,-33.0117,17.9442,46.45,66,0,7.27,clear sky
316,Awbari,LY,26.5921,12.7805,82.45,26,0,8.48,clear sky
317,Guanica,PR,17.9716,-66.908,85.5,80,30,5.01,scattered clouds
318,Gorontalo,ID,0.5412,123.0595,75.38,92,44,2.57,scattered clouds
319,Xique-Xique,BR,-10.8218,-42.7263,77.67,42,4,18.19,clear sky
320,Liverpool,GB,53.4106,-2.9779,60.78,86,75,1.01,broken clouds
321,Richards Bay,ZA,-28.783,32.0377,57.6,81,98,6.15,overcast clouds
322,Port Pirie,AU,-33.1833,138.0167,39.29,59,1,3.94,clear sky
323,Jatara,IN,25.0167,79.05,79.12,76,7,6.93,clear sky
324,Puerto Escondido,MX,15.85,-97.0667,85.19,69,9,4.99,clear sky
325,Praia,CV,14.9215,-23.5087,77.54,78,20,6.91,few clouds
326,Olafsvik,IS,64.8945,-23.7142,52.65,90,3,12.84,clear sky
327,Ishigaki,JP,24.3448,124.1572,82.53,89,20,8.05,few clouds
328,Sokoto,NG,13.0609,5.239,78.67,76,18,10.45,few clouds
329,San Ramon,US,37.7799,-121.978,99.64,45,30,11.01,scattered clouds
330,Bereda,ES,43.2686,-7.5406,63.57,96,26,2.64,scattered clouds
331,Flinders,AU,-34.5833,150.8552,60.8,74,29,1.99,scattered clouds
332,Chumikan,RU,54.7183,135.315,68.43,67,8,12.97,clear sky
333,Tarakan,ID,3.3,117.6333,78.3,94,75,6.91,broken clouds
334,Suna,RU,57.8338,50.0588,57.06,82,39,5.32,scattered clouds
335,Cabo San Lucas,MX,22.8909,-109.9124,94.6,69,34,13.94,scattered clouds
336,Nara,JP,34.6851,135.8049,72.64,97,100,2.86,overcast clouds
337,Barra Do Bugres,BR,-15.0725,-57.1811,80.26,30,2,3.74,clear sky
338,Okato,NZ,-39.2,173.8833,53.42,64,86,11.72,overcast clouds
339,Radomsko,PL,51.0671,19.4448,67.33,79,5,4.34,clear sky
340,Kaitangata,NZ,-46.2817,169.8464,50.65,68,69,10.74,broken clouds
341,Te Anau,NZ,-45.4167,167.7167,44.74,94,100,6.6,overcast clouds
342,Atasu,KZ,48.6814,71.6433,57.33,53,68,9.08,broken clouds
343,Husavik,IS,66.0449,-17.3389,48.11,88,83,2.95,broken clouds
344,Rudnogorsk,RU,57.2639,103.7519,59.99,96,100,4.21,overcast clouds
345,Panaba,MX,21.2833,-88.2667,87.48,57,52,12.19,broken clouds
346,Bonthe,SL,7.5264,-12.505,76.24,82,99,8.28,light rain
347,Omsukchan,RU,62.5333,155.8,65.82,54,91,8.21,overcast clouds
348,Aitape,PG,-3.1374,142.3475,81.5,76,91,3.74,overcast clouds
