City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
149,Yellowknife,CA,2021-08-14 00:51:34,62.456,-114.3525,68.52,64,75,10.36
150,Genhe,CN,2021-08-14 00:54:42,50.7833,121.5167,68.68,54,9,1.3
151,Ancud,CL,2021-08-14 00:54:42,-41.8697,-73.8203,45.43,79,100,1.07
152,Eseka,CM,2021-08-14 00:54:43,3.65,10.7667,70.72,99,100,1.59
153,Norman Wells,CA,2021-08-14 00:54:43,65.282,-126.8329,62.64,72,75,11.5
154,Nadym,RU,2021-08-14 00:54:43,65.5333,72.5167,59.11,94,100,5.73
155,Surt,LY,2021-08-14 00:54:43,31.2089,16.5887,81.25,75,0,9.08
156,Erdenet,MN,2021-08-14 00:54:44,49.0333,104.0833,58.6,87,74,1.19
157,Odienne,CI,2021-08-14 00:54:44,9.51,-7.5692,70.66,95,100,3.2
158,Cockburn Town,TC,2021-08-14 00:50:33,21.4612,-71.1419,82.36,69,40,13.8
159,Yulara,AU,2021-08-14 00:54:45,-25.2406,130.9889,57.04,26,0,13.8
160,Muroto,JP,2021-08-14 00:54:45,33.2833,134.15,80.64,90,100,23.8
161,Mogadishu,SO,2021-08-14 00:54:45,2.0371,45.3438,76.33,90,64,17.81
162,Bengkulu,ID,2021-08-14 00:54:46,-3.8004,102.2655,78.42,78,97,3.47
163,Guerrero Negro,MX,2021-08-14 00:54:46,27.9769,-114.0611,80.76,69,0,16.11
164,Mezen,RU,2021-08-14 00:54:46,65.8522,44.24,57.96,98,100,6.87
165,Puerto Escondido,MX,2021-08-14 00:54:46,15.85,-97.0667,79.97,88,100,5.64
166,Gravdal,NO,2021-08-14 00:54:47,68.1214,13.5031,53.44,80,100,7.02
167,Half Moon Bay,US,2021-08-14 00:54:47,37.4636,-122.4286,86.7,69,75,8.05
168,Sorland,NO,2021-08-14 00:54:47,67.667,12.6934,54.57,82,99,9.73
169,Yashkul,RU,2021-08-14 00:54:48,46.1711,45.3435,77.99,60,49,5.91
170,Upernavik,GL,2021-08-14 00:54:48,72.7868,-56.1549,44.64,94,100,7.81
171,Waiouru,NZ,2021-08-14 00:54:48,-39.4833,175.6667,45.43,72,61,10.87
172,Evansville,US,2021-08-14 00:54:49,37.9748,-87.5558,84.25,69,37,5.03
173,Provideniya,RU,2021-08-14 00:54:49,64.3833,-173.3,49.3,81,100,9.62
174,Fethiye,TR,2021-08-14 00:54:50,36.6217,29.1164,78.67,37,0,7.99
175,Denpasar,ID,2021-08-14 00:54:50,-8.65,115.2167,80.26,94,40,13.8
176,Portland,US,2021-08-14 00:52:55,45.5234,-122.6762,99.9,37,75,6.91
177,Kavaratti,IN,2021-08-14 00:54:50,10.5669,72.642,81.07,76,29,17.13
178,Vaitape,PF,2021-08-14 00:54:51,-16.5167,-151.75,78.71,70,15,8.95
179,Codrington,AU,2021-08-14 00:54:51,-38.2667,141.9667,52.57,85,94,10.71
180,Talladega,US,2021-08-14 00:54:52,33.4359,-86.1058,82.67,79,1,3.44
181,La Asuncion,VE,2021-08-14 00:54:52,11.0333,-63.8628,79.86,84,100,3.98
182,Srednekolymsk,RU,2021-08-14 00:54:52,67.45,153.6833,53.13,72,97,8.34
183,Xiongzhou,CN,2021-08-14 00:54:53,25.1167,114.3,85.84,73,60,3.98
184,Nongan,CN,2021-08-14 00:54:53,44.382,125.1685,64.81,89,95,6.69
185,Nanortalik,GL,2021-08-14 00:54:53,60.1432,-45.2371,48.65,90,73,4.72
186,Ariquemes,BR,2021-08-14 00:50:19,-9.9133,-63.0408,78.24,40,3,0.83
187,Angoche,MZ,2021-08-14 00:54:54,-16.2325,39.9086,73.0,75,11,9.51
188,Flinders,AU,2021-08-14 00:54:54,-34.5833,150.8552,67.05,66,0,3.0
189,Hithadhoo,MV,2021-08-14 00:54:55,-0.6,73.0833,81.97,76,100,19.82
190,Emba,KZ,2021-08-14 00:54:55,48.8264,58.1442,63.72,38,1,8.01
191,Manggar,ID,2021-08-14 00:54:55,-2.8833,108.2667,80.85,80,99,12.8
192,Marsh Harbour,BS,2021-08-14 00:54:56,26.5412,-77.0636,83.86,72,100,15.84
193,Clearlake,US,2021-08-14 00:50:58,38.9582,-122.6264,96.15,23,15,11.54
194,Hervey Bay,AU,2021-08-14 00:54:56,-25.2986,152.8535,71.71,63,0,5.61
195,Manono,CD,2021-08-14 00:54:57,-7.3,27.4167,73.04,31,27,0.92
196,Mount Gambier,AU,2021-08-14 00:54:57,-37.8333,140.7667,51.71,100,90,10.36
197,Dudinka,RU,2021-08-14 00:54:57,69.4058,86.1778,53.15,96,98,8.23
198,Baykit,RU,2021-08-14 00:54:58,61.67,96.37,61.3,94,99,0.92
199,Rio Grande,BR,2021-08-14 00:51:57,-32.035,-52.0986,56.95,88,97,10.11
200,Seminole,US,2021-08-14 00:54:58,28.7086,-81.2081,81.07,93,98,8.68
201,Sola,VU,2021-08-14 00:54:58,-13.8833,167.55,79.47,78,90,5.75
202,Nyurba,RU,2021-08-14 00:54:59,63.2842,118.3319,75.88,52,33,2.51
